timestamp_ns,mode,fsm,rl_type,obs_00_base_ang_vel_x_scaled,obs_01_base_ang_vel_y_scaled,obs_02_base_ang_vel_z_scaled,obs_03_projected_gravity_x,obs_04_projected_gravity_y,obs_05_projected_gravity_z,obs_06_abad_l_position_offset_scaled,obs_07_hip_l_position_offset_scaled,obs_08_knee_l_position_offset_scaled,obs_09_abad_r_position_offset_scaled,obs_10_hip_r_position_offset_scaled,obs_11_knee_r_position_offset_scaled,obs_12_abad_l_velocity_scaled,obs_13_hip_l_velocity_scaled,obs_14_knee_l_velocity_scaled,obs_15_wheel_l_velocity_scaled,obs_16_abad_r_velocity_scaled,obs_17_hip_r_velocity_scaled,obs_18_knee_r_velocity_scaled,obs_19_wheel_r_velocity_scaled,obs_20_last_action_abad_l,obs_21_last_action_hip_l,obs_22_last_action_knee_l,obs_23_last_action_wheel_l,obs_24_last_action_abad_r,obs_25_last_action_hip_r,obs_26_last_action_knee_r,obs_27_last_action_wheel_r
1788509070806321110,sim,WALK,isaacgym,-0.000716026,-0.019947289,-0.000590889,0.052300590,0.007923994,-0.998599949,0.079825968,0.059874018,-0.042466650,-0.120741047,-0.058779781,0.074694643,-0.000399239,-0.005579308,-0.000496291,0.044850218,-0.000488268,0.002547790,0.000609828,0.031778473,-0.442791343,0.616694510,-2.355294466,1.628655672,0.391455770,-0.547414958,2.140742779,1.356282234
1788509070826317598,sim,WALK,isaacgym,0.000784253,-0.019684296,-0.000884390,0.050868319,0.007921119,-0.998673956,0.079605028,0.057873999,-0.042854199,-0.120978728,-0.057732050,0.075094292,-0.000797038,-0.005500936,-0.001584234,0.041429034,-0.000805352,0.003234619,0.001545974,0.031769210,-0.441150248,0.608874619,-2.362199545,1.287922740,0.397113532,-0.536615670,2.123790026,1.207896948
1788509070848793826,sim,WALK,isaacgym,0.001911147,-0.018818693,-0.001087175,0.049553268,0.007828965,-0.998740798,0.079282150,0.056061183,-0.043552051,-0.121291183,-0.056544338,0.075761328,-0.001067625,-0.005136613,-0.002442136,0.036757985,-0.001003006,0.003725595,0.002313392,0.030778638,-0.442595482,0.602054358,-2.366379976,0.891471803,0.406703562,-0.523952186,2.103491545,1.014080882
1788509070866367676,sim,WALK,isaacgym,0.002641032,-0.017446833,-0.001266646,0.048391867,0.007684444,-0.998798867,0.078913286,0.054508139,-0.044442067,-0.121628977,-0.055293997,0.076603839,-0.001214183,-0.004526284,-0.003052215,0.031145522,-0.001088992,0.004034926,0.002893691,0.028974566,-0.447044551,0.597730577,-2.370008945,0.446881235,0.418757647,-0.512764931,2.083859205,0.781551003
1788509070886347412,sim,WALK,isaacgym,0.003223391,-0.015063905,-0.001453688,0.047285951,0.007488237,-0.998853325,0.078485787,0.053143625,-0.045567284,-0.122003615,-0.053893690,0.077676246,-0.001287913,-0.003493097,-0.003511551,0.023170820,-0.001106484,0.004155633,0.003361508,0.025700930,-0.453945935,0.595296681,-2.373562574,-0.032218441,0.431820035,-0.504611731,2.067987442,0.511051893
1788509070906761095,sim,WALK,isaacgym,0.003625154,-0.011782648,-0.001516025,0.046320775,0.007245777,-0.998900338,0.078021593,0.052138289,-0.046891341,-0.122392967,-0.052412336,0.078954587,-0.001287188,-0.002128359,-0.003794909,0.013353026,-0.001056937,0.004041667,0.003688062,0.020968643,-0.464273930,0.593699992,-2.373424768,-0.514347851,0.445612967,-0.497941524,2.055034637,0.216578513
1788509070927182738,sim,WALK,isaacgym,0.003932416,-0.008404934,-0.001463035,0.045599417,0.006977308,-0.998935439,0.077564694,0.051629176,-0.048277388,-0.122760527,-0.051018437,0.080308268,-0.001246564,-0.000705418,-0.003859771,0.003753716,-0.000983211,0.003662541,0.003788665,0.015642142,-0.477800310,0.593054295,-2.368886471,-0.963458836,0.460038245,-0.492531627,2.044164419,-0.081425801
1788509070946394423,sim,WALK,isaacgym,0.003968935,-0.005254791,-0.001489321,0.045141309,0.006711945,-0.998958063,0.077158324,0.051654120,-0.049566338,-0.123073645,-0.049872016,0.081583152,-0.001140517,0.000827205,-0.003693780,-0.005481133,-0.000857753,0.003052818,0.003683881,0.010065992,-0.492331028,0.592409492,-2.361130714,-1.360888481,0.474339098,-0.490136772,2.036091566,-0.375469208
1788509070966489416,sim,WALK,isaacgym,0.003826831,-0.002338808,-0.001507206,0.044918007,0.006482226,-0.998969646,0.076817214,0.052165871,-0.050699124,-0.123323135,-0.049013277,0.082723329,-0.000998580,0.002286926,-0.003386806,-0.014052163,-0.000709831,0.002317362,0.003435564,0.004345557,-0.507017791,0.592386782,-2.352653503,-1.692889929,0.487094223,-0.491257191,2.032281399,-0.655853033
1788509070986412385,sim,WALK,isaacgym,0.003683870,0.002680306,-0.001154086,0.044931543,0.006188448,-0.998970900,0.076469392,0.053301086,-0.051905403,-0.123562403,-0.048278053,0.083950768,-0.000848828,0.003537832,-0.002982176,-0.023256473,-0.000567332,0.001598981,0.003028416,-0.002410038,-0.521308124,0.592575610,-2.344602346,-1.953628421,0.497980475,-0.493899733,2.031916618,-0.915539086
